Year,Location,State/Local Government,Non-Profit,For-Profit,Total
2012,Alabama,1.4,0.8,0.8,3.1
2012,Alaska,0.3,1.5,0.3,2.1
2012,Arizona,0.1,1.6,0.4,2.1
2012,Arkansas,0.3,2.1,0.8,3.2
2012,California,0.3,1.2,0.3,1.9
2012,Colorado,0.3,1.2,0.4,2
2012,Connecticut,0,2.2,0,2.3
2012,Delaware,N/A,2.1,0,2.2
2012,District of Columbia,0.6,4.2,1,5.7
2012,Florida,0.5,1.3,1,2.8
2012,Georgia,0.5,1.5,0.4,2.5
2012,Hawaii,0.7,1.4,N/A,2
2012,Idaho,0.6,1.1,0.4,2.1
2012,Illinois,0.1,2.2,0.2,2.5
2012,Indiana,0.4,1.9,0.3,2.7
2012,Iowa,1,2.2,0.1,3.2
2012,Kansas,1.2,1.7,0.6,3.5
2012,Kentucky,0.4,2.4,0.5,3.2
2012,Louisiana,1,1.6,0.7,3.3
2012,Maine,0.1,2.5,0.1,2.7
2012,Maryland,N/A,2,0.1,2.1
2012,Massachusetts,0.1,2,0.4,2.4
2012,Michigan,0.2,2.2,0.2,2.5
2012,Minnesota,0.5,2.3,0,2.8
2012,Mississippi,1.9,1.5,1,4.3
2012,Missouri,0.5,2.2,0.5,3.2
2012,Montana,0.4,3.3,0,3.7
2012,Nebraska,0.8,2.9,0.1,3.8
2012,Nevada,0.2,0.6,1.2,2
2012,New Hampshire,N/A,1.8,0.3,2.1
2012,New Jersey,0.1,2.1,0.2,2.4
2012,New Mexico,0.3,0.8,0.8,2
2012,New York,0.5,2.4,N/A,2.9
2012,North Carolina,0.7,1.5,0.1,2.3
2012,North Dakota,N/A,4.5,0.1,4.6
2012,Ohio,0.3,2.5,0.2,2.9
2012,Oklahoma,0.7,1.3,1,3
2012,Oregon,0.2,1.4,0.1,1.7
2012,Pennsylvania,0,2.6,0.4,3.1
2012,Rhode Island,N/A,2.3,N/A,2.3
2012,South Carolina,0.7,1.2,0.7,2.7
2012,South Dakota,0.3,4.6,0.2,5
2012,Tennessee,0.5,1.5,1.1,3.1
2012,Texas,0.3,1.1,0.9,2.4
2012,Utah,0.2,1,0.6,1.8
2012,Vermont,N/A,2,N/A,2
2012,Virginia,0.2,1.5,0.5,2.2
2012,Washington,0.4,1.2,0.1,1.8
2012,West Virginia,0.3,2.9,0.7,3.9
2012,Wisconsin,0,2.2,0.1,2.3
2012,Wyoming,2.4,0.7,0.3,3.3
